address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"212 Stuart | 212 Stuart St, Boston, MA",1,4540,2.7 km,7.7 km,4.0 km,3.4 km,42.3504464,-71.06818659999999
"212 Stuart | 212 Stuart St, Boston, MA",2,7195,2.7 km,7.7 km,4.0 km,3.4 km,42.3504464,-71.06818659999999
"212 Stuart | 212 Stuart St, Boston, MA",3,22510,2.7 km,7.7 km,4.0 km,3.4 km,42.3504464,-71.06818659999999
"Troy Boston | 55 Traveler St, Boston, MA",Studio,2785,3.1 km,8.7 km,6.7 km,7.5 km,42.3440127,-71.06254419999999
"Troy Boston | 55 Traveler St, Boston, MA",1,3350,3.1 km,8.7 km,6.7 km,7.5 km,42.3440127,-71.06254419999999
"Troy Boston | 55 Traveler St, Boston, MA",2,4065,3.1 km,8.7 km,6.7 km,7.5 km,42.3440127,-71.06254419999999
"Emerson Place | 1 Emerson Pl, Boston, MA",Studio,2710,4.5 km,8.3 km,2.9 km,4.0 km,42.3645487,-71.0687779
"Emerson Place | 1 Emerson Pl, Boston, MA",1,2975,4.5 km,8.3 km,2.9 km,4.0 km,42.3645487,-71.0687779
"Emerson Place | 1 Emerson Pl, Boston, MA",2,4315,4.5 km,8.3 km,2.9 km,4.0 km,42.3645487,-71.0687779
"381 Congress Lofts | 381 Congress St, Boston, MA",Studio,3049,4.7 km,10.1 km,7.6 km,8.4 km,42.3497255,-71.04772620000001
"381 Congress Lofts | 381 Congress St, Boston, MA",1,3399,4.7 km,10.1 km,7.6 km,8.4 km,42.3497255,-71.04772620000001
"Royce Rd, 11 Royce Rd APT 4, Boston, MA 02134",Studio,1950,4.1 km,2.5 km,4.7 km,1.4 km,42.3490086,-71.1318131
"740 E 7th St, 740 E 7th St APT 18, Boston, MA 02127",1,2450,5.3 km,11.5 km,12.2 km,13.0 km,42.332518,-71.030787
"Flats on D | 411 D St, Boston, MA",Studio,2709,5.9 km,9.7 km,8.1 km,8.9 km,42.3446367,-71.0435978
"Flats on D | 411 D St, Boston, MA",1,2976,5.9 km,9.7 km,8.1 km,8.9 km,42.3446367,-71.0435978
"Flats on D | 411 D St, Boston, MA",2,3861,5.9 km,9.7 km,8.1 km,8.9 km,42.3446367,-71.0435978
"VELKOR 245 NOMINEE TRUST, 245 Sumner St #104, Boston, MA 02128",2,3475,8.4 km,12.1 km,7.0 km,7.9 km,42.3679693,-71.0382673
"Watermark Seaport | 85 Seaport Blvd, Boston, MA",Studio,2649,4.9 km,10.3 km,7.7 km,8.5 km,42.3516816,-71.0459501
"Watermark Seaport | 85 Seaport Blvd, Boston, MA",1,3321,4.9 km,10.3 km,7.7 km,8.5 km,42.3516816,-71.0459501
"Watermark Seaport | 85 Seaport Blvd, Boston, MA",2,4728,4.9 km,10.3 km,7.7 km,8.5 km,42.3516816,-71.0459501
"Thread | 1580 River St, Hyde Park, MA",1,2550,14.9 km,16.4 km,16.7 km,14.3 km,42.2482179,-71.132042
"Thread | 1580 River St, Hyde Park, MA",2,3050,14.9 km,16.4 km,16.7 km,14.3 km,42.2482179,-71.132042
"The West End Apartments | 4 Emerson Pl, Boston, MA",Studio,2900,4.5 km,8.2 km,2.8 km,4.0 km,42.3642848,-71.06802929999999
"The West End Apartments | 4 Emerson Pl, Boston, MA",1,3215,4.5 km,8.2 km,2.8 km,4.0 km,42.3642848,-71.06802929999999
"The West End Apartments | 4 Emerson Pl, Boston, MA",2,4825,4.5 km,8.2 km,2.8 km,4.0 km,42.3642848,-71.06802929999999
"Avenir | 101 Canal St, Boston, MA",Studio,2840,6.3 km,10.5 km,3.4 km,4.6 km,42.3650387,-71.0602864
"Avenir | 101 Canal St, Boston, MA",1,3875,6.3 km,10.5 km,3.4 km,4.6 km,42.3650387,-71.0602864
"Avenir | 101 Canal St, Boston, MA",2,4130,6.3 km,10.5 km,3.4 km,4.6 km,42.3650387,-71.0602864
"38 Hemenway | 38 Hemenway St, Boston, MA",Studio,2350,1.2 km,5.8 km,2.6 km,1.2 km,42.3455277,-71.0892029
"38 Hemenway | 38 Hemenway St, Boston, MA",1,2600,1.2 km,5.8 km,2.6 km,1.2 km,42.3455277,-71.0892029
"38 Hemenway | 38 Hemenway St, Boston, MA",2,3400,1.2 km,5.8 km,2.6 km,1.2 km,42.3455277,-71.0892029
"38 Hemenway | 38 Hemenway St, Boston, MA",3,4800,1.2 km,5.8 km,2.6 km,1.2 km,42.3455277,-71.0892029
"455 E 1st St, 455 E 1st St #402, Boston, MA 02127",1,4000,4.3 km,10.7 km,8.4 km,9.2 km,42.3379144,-71.04193029999999
"4, 8, 12 Elko Street, 4 Elko St #810, Brighton, MA 02135",3,3200,6.8 km,3.0 km,6.1 km,2.9 km,42.3497886,-71.1494369
"Kilsyth Manor Apartments | 111 Kilsyth Rd, Brighton, MA",1,2395,5.1 km,4.0 km,6.5 km,3.2 km,42.3404994,-71.14627759999999
"Kilsyth Manor Apartments | 111 Kilsyth Rd, Brighton, MA",2,3125,5.1 km,4.0 km,6.5 km,3.2 km,42.3404994,-71.14627759999999
"Kilsyth Manor Apartments | 111 Kilsyth Rd, Brighton, MA",3,3595,5.1 km,4.0 km,6.5 km,3.2 km,42.3404994,-71.14627759999999
"315 on A | 315 A St, Boston, MA",Studio,2905,4.9 km,10.1 km,6.0 km,6.8 km,42.34881070000001,-71.04854209999999
